,code,item,freq,year_,seq,value_,date_
0,486.0,15061.0,A,2001,1,1.63899,
1,486.0,15061.0,A,2003,1,19.02975,
2,486.0,15061.0,A,2004,1,8.51783,
3,486.0,15061.0,A,2006,1,1.62973,
4,486.0,15061.0,A,2007,1,0.98564,
5,486.0,15061.0,A,2008,1,1.47648,
6,486.0,15061.0,A,2009,1,1.79886,
7,486.0,15061.0,A,2010,1,1.2794,
8,486.0,15061.0,A,2011,1,0.81037,
9,486.0,15061.0,A,2012,1,0.41817,
10,486.0,15061.0,A,2013,1,0.45645,
11,486.0,15061.0,A,2014,1,0.47774,
12,486.0,15061.0,A,2015,1,0.42976,
13,486.0,15061.0,A,2016,1,0.58389,
14,486.0,15061.0,A,2017,1,1.45495,
15,486.0,15061.0,A,2018,1,6.44164,
16,486.0,15061.0,A,2019,1,6.31915,
17,486.0,15061.0,A,2020,1,2.95553,
18,486.0,15061.0,A,2021,1,4.83599,
19,486.0,15061.0,A,2022,1,3.46447,
20,488.0,15061.0,A,2013,1,0.69186,
21,488.0,15061.0,A,2014,1,5.67099,
22,488.0,15061.0,A,2015,1,4.56535,
23,488.0,15061.0,A,2016,1,5.12924,
24,488.0,15061.0,A,2017,1,5.03295,
25,488.0,15061.0,A,2018,1,0.40988,
26,488.0,15061.0,A,2019,1,2.10252,
27,488.0,15061.0,A,2020,1,2.37545,
28,488.0,15061.0,A,2021,1,3.64813,
29,488.0,15061.0,A,2022,1,2.73985,
30,495.0,15061.0,A,2001,1,4.3667,
31,506.0,15061.0,A,2013,1,1.48195,
32,506.0,15061.0,A,2014,1,0.21416,
33,506.0,15061.0,A,2015,1,3.59938,
34,506.0,15061.0,A,2016,1,2.71763,
35,506.0,15061.0,A,2017,1,0.771,
36,506.0,15061.0,A,2018,1,0.61328,
37,506.0,15061.0,A,2019,1,0.11862,
38,506.0,15061.0,A,2020,1,15.63366,
39,506.0,15061.0,A,2021,1,14.86443,
40,506.0,15061.0,A,2022,1,4.33716,
41,1395.0,15061.0,A,1997,1,1.58167,
42,1395.0,15061.0,A,1998,1,1.06658,
43,1395.0,15061.0,A,1999,1,0.94725,
44,1395.0,15061.0,A,2000,1,0.9605,
45,1395.0,15061.0,A,2009,1,7.37679,
46,1395.0,15061.0,A,2010,1,8.59105,
47,1395.0,15061.0,A,2011,1,10.58472,
48,1844.0,15061.0,A,2002,1,0.05209,
49,1844.0,15061.0,A,2003,1,0.47823,
50,1844.0,15061.0,A,2004,1,0.58504,
51,1844.0,15061.0,A,2005,1,0.269,
52,1844.0,15061.0,A,2006,1,0.39126,
53,1844.0,15061.0,A,2008,1,4.09382,
54,1844.0,15061.0,A,2009,1,16.06809,
55,1844.0,15061.0,A,2010,1,18.29633,
56,1844.0,15061.0,A,2011,1,20.46429,
57,1844.0,15061.0,A,2012,1,9.10477,
58,1844.0,15061.0,A,2013,1,9.92516,
59,2472.0,15061.0,A,1999,1,0.18165,
60,2472.0,15061.0,A,2002,1,0.09274,
61,2472.0,15061.0,A,2003,1,0.77803,
62,2472.0,15061.0,A,2004,1,0.04576,
63,2472.0,15061.0,A,2005,1,0.38508,
64,2472.0,15061.0,A,2006,1,0.35426,
65,2472.0,15061.0,A,2007,1,0.29803,
66,2472.0,15061.0,A,2008,1,0.4903,
67,2472.0,15061.0,A,2009,1,1.19892,
68,2472.0,15061.0,A,2010,1,1.38006,
69,2472.0,15061.0,A,2011,1,1.07015,
70,2472.0,15061.0,A,2012,1,0.66855,
71,2472.0,15061.0,A,2013,1,1.57289,
72,2472.0,15061.0,A,2014,1,1.31988,
73,2472.0,15061.0,A,2015,1,1.38644,
74,2472.0,15061.0,A,2016,1,1.10049,
75,2472.0,15061.0,A,2017,1,1.58364,
76,2472.0,15061.0,A,2018,1,3.51434,
77,1811.0,15061.0,A,2005,1,1.8067,
78,1811.0,15061.0,A,2006,1,1.29048,
79,1811.0,15061.0,A,2007,1,0.85806,
80,1811.0,15061.0,A,2008,1,2.24223,
81,1811.0,15061.0,A,2009,1,2.01671,
82,1811.0,15061.0,A,2010,1,1.10172,
83,1811.0,15061.0,A,2011,1,0.9893,
84,1811.0,15061.0,A,2012,1,1.19681,
85,1811.0,15061.0,A,2013,1,1.70195,
86,1811.0,15061.0,A,2014,1,2.18362,
87,1811.0,15061.0,A,2015,1,1.97708,
88,1811.0,15061.0,A,2016,1,1.56275,
89,1811.0,15061.0,A,2017,1,1.36982,
90,1811.0,15061.0,A,2018,1,2.42663,
91,1811.0,15061.0,A,2019,1,1.95837,
92,1811.0,15061.0,A,2020,1,2.13234,
93,1811.0,15061.0,A,2021,1,1.77536,
94,1811.0,15061.0,A,2022,1,2.32129,
95,3361.0,15061.0,A,1995,1,4.68078,
96,3361.0,15061.0,A,1996,1,3.14223,
97,3361.0,15061.0,A,1997,1,2.58259,
98,3361.0,15061.0,A,1998,1,1.84435,
99,3361.0,15061.0,A,1999,1,2.4543,
100,3361.0,15061.0,A,2001,1,2.24919,
101,3361.0,15061.0,A,2002,1,1.90939,
102,3361.0,15061.0,A,2003,1,1.80232,
103,3361.0,15061.0,A,2004,1,1.44303,
104,3361.0,15061.0,A,2005,1,2.65599,
105,3361.0,15061.0,A,2006,1,3.32003,
106,3361.0,15061.0,A,2007,1,1.70877,
107,3361.0,15061.0,A,2008,1,1.61801,
108,3361.0,15061.0,A,2009,1,2.27563,
109,3361.0,15061.0,A,2010,1,1.6964,
110,3361.0,15061.0,A,2011,1,1.77708,
111,3361.0,15061.0,A,2012,1,4.91116,
